"timestamp","temperature_type","temperature"
"20180101T0000","temperature_mean",10.500529
"20180101T0000","temperature_min",7.500529
"20180101T0000","temperature_max",15.500529
"20180101T0100","temperature_mean",9.790529
"20180101T0100","temperature_min",5.790529
"20180101T0100","temperature_max",13.790529
"20180101T0200","temperature_mean",8.970529
"20180101T0200","temperature_min",6.970529
"20180101T0200","temperature_max",9.970529
"20180101T0300","temperature_mean",8.690529
"20180101T0300","temperature_min",5.690529
"20180101T0300","temperature_max",11.690529
"20180101T0400","temperature_mean",7.9605284
"20180101T0400","temperature_min",6.9605284
"20180101T0400","temperature_max",11.9605284
"20180101T0500","temperature_mean",7.3605285
"20180101T0500","temperature_min",3.3605285
"20180101T0500","temperature_max",9.3605285
"20180101T0600","temperature_mean",6.8105288
"20180101T0600","temperature_min",1.8105288
"20180101T0600","temperature_max",11.8105288
"20180101T0700","temperature_mean",6.1505284
"20180101T0700","temperature_min",4.1505284
"20180101T0700","temperature_max",7.1505284
"20180101T0800","temperature_mean",5.9005284
"20180101T0800","temperature_min",2.9005284
"20180101T0800","temperature_max",9.9005284
"20180101T0900","temperature_mean",5.9305286
"20180101T0900","temperature_min",1.9305286
"20180101T0900","temperature_max",8.9305286
"20180101T1000","temperature_mean",6.7505283
"20180101T1000","temperature_min",1.7505283
"20180101T1000","temperature_max",10.7505283
"20180101T1100","temperature_mean",7.2105284
"20180101T1100","temperature_min",3.2105284
"20180101T1100","temperature_max",9.2105284
"20180101T1200","temperature_mean",7.8205285
"20180101T1200","temperature_min",6.8205285
"20180101T1200","temperature_max",10.8205285
"20180101T1300","temperature_mean",9.480529
"20180101T1300","temperature_min",6.480529
"20180101T1300","temperature_max",13.480529
"20180101T1400","temperature_mean",9.110529
"20180101T1400","temperature_min",5.110529
"20180101T1400","temperature_max",10.110529
"20180101T1500","temperature_mean",8.3005295
"20180101T1500","temperature_min",3.3005295
"20180101T1500","temperature_max",12.3005295
"20180101T1600","temperature_mean",8.200529
"20180101T1600","temperature_min",4.200529
"20180101T1600","temperature_max",11.200529
"20180101T1700","temperature_mean",8.080529
"20180101T1700","temperature_min",7.080529
"20180101T1700","temperature_max",10.080529
"20180101T1800","temperature_mean",6.5305285
"20180101T1800","temperature_min",4.5305285
"20180101T1800","temperature_max",8.5305285
"20180101T1900","temperature_mean",6.2705283
"20180101T1900","temperature_min",4.2705283
"20180101T1900","temperature_max",9.2705283
"20180101T2000","temperature_mean",6.1805286
"20180101T2000","temperature_min",1.1805286
"20180101T2000","temperature_max",9.1805286
"20180101T2100","temperature_mean",6.4505286
"20180101T2100","temperature_min",2.4505286
"20180101T2100","temperature_max",9.4505286
"20180101T2200","temperature_mean",6.1405287
"20180101T2200","temperature_min",4.1405287
"20180101T2200","temperature_max",11.1405287
"20180101T2300","temperature_mean",5.1805286
"20180101T2300","temperature_min",2.1805286
"20180101T2300","temperature_max",10.1805286
"20180102T0000","temperature_mean",5.5005283
"20180102T0000","temperature_min",3.5005283
"20180102T0000","temperature_max",9.5005283
"20180102T0100","temperature_mean",4.9305286
"20180102T0100","temperature_min",0.9305286
"20180102T0100","temperature_max",9.9305286
"20180102T0200","temperature_mean",4.5105286
"20180102T0200","temperature_min",3.5105286
"20180102T0200","temperature_max",5.5105286
"20180102T0300","temperature_mean",4.4805284
"20180102T0300","temperature_min",3.4805284
"20180102T0300","temperature_max",5.4805284
"20180102T0400","temperature_mean",4.3805285
"20180102T0400","temperature_min",-0.6194715
"20180102T0400","temperature_max",6.3805285
"20180102T0500","temperature_mean",4.2305284
"20180102T0500","temperature_min",3.2305284
"20180102T0500","temperature_max",6.2305284
"20180102T0600","temperature_mean",4.0905285
"20180102T0600","temperature_min",0.0905285
"20180102T0600","temperature_max",9.0905285
"20180102T0700","temperature_mean",3.9505286
"20180102T0700","temperature_min",-1.0494714
"20180102T0700","temperature_max",5.9505286
"20180102T0800","temperature_mean",3.7005286
"20180102T0800","temperature_min",1.7005286
"20180102T0800","temperature_max",4.7005286
"20180102T0900","temperature_mean",3.8305285
"20180102T0900","temperature_min",-0.1694715
"20180102T0900","temperature_max",7.8305285
"20180102T1000","temperature_mean",4.4005284
"20180102T1000","temperature_min",1.4005284
"20180102T1000","temperature_max",9.4005284
"20180102T1100","temperature_mean",4.9505286
